m,TagName,
"2008-07-01 00:00:00","c#","3"
"2008-08-01 00:00:00","assembly","8"
"2008-08-01 00:00:00","c","83"
"2008-08-01 00:00:00","c#","505"
"2008-08-01 00:00:00","c++","164"
"2008-08-01 00:00:00","delphi","14"
"2008-08-01 00:00:00","java","222"
"2008-08-01 00:00:00","javascript","163"
"2008-08-01 00:00:00","perl","28"
"2008-08-01 00:00:00","php","158"
"2008-08-01 00:00:00","python","120"
"2008-08-01 00:00:00","ruby","70"
"2008-09-01 00:00:00","assembly","28"
"2008-09-01 00:00:00","c","318"
"2008-09-01 00:00:00","c#","1644"
"2008-09-01 00:00:00","c++","753"
"2008-09-01 00:00:00","delphi","104"
"2008-09-01 00:00:00","java","1130"
"2008-09-01 00:00:00","javascript","635"
"2008-09-01 00:00:00","perl","130"
"2008-09-01 00:00:00","php","476"
"2008-09-01 00:00:00","python","537"
"2008-09-01 00:00:00","r","6"
"2008-09-01 00:00:00","ruby","287"
"2008-10-01 00:00:00","assembly","15"
"2008-10-01 00:00:00","c","303"
"2008-10-01 00:00:00","c#","1988"
"2008-10-01 00:00:00","c++","808"
"2008-10-01 00:00:00","delphi","112"
"2008-10-01 00:00:00","java","1149"
"2008-10-01 00:00:00","javascript","724"
"2008-10-01 00:00:00","perl","127"
"2008-10-01 00:00:00","php","611"
"2008-10-01 00:00:00","python","507"
"2008-10-01 00:00:00","ruby","247"
"2008-11-01 00:00:00","assembly","17"
"2008-11-01 00:00:00","c","259"
"2008-11-01 00:00:00","c#","1731"
"2008-11-01 00:00:00","c++","734"
"2008-11-01 00:00:00","delphi","141"
"2008-11-01 00:00:00","java","957"
"2008-11-01 00:00:00","javascript","581"
"2008-11-01 00:00:00","perl","97"
"2008-11-01 00:00:00","php","501"
"2008-11-01 00:00:00","python","450"
"2008-11-01 00:00:00","r","1"
"2008-11-01 00:00:00","ruby","158"
"2008-12-01 00:00:00","assembly","17"
"2008-12-01 00:00:00","c","189"
"2008-12-01 00:00:00","c#","1596"
"2008-12-01 00:00:00","c++","632"
"2008-12-01 00:00:00","delphi","134"
"2008-12-01 00:00:00","java","827"
"2008-12-01 00:00:00","javascript","626"
"2008-12-01 00:00:00","perl","133"
"2008-12-01 00:00:00","php","477"
"2008-12-01 00:00:00","python","438"
"2008-12-01 00:00:00","r","1"
"2008-12-01 00:00:00","ruby","159"
"2009-01-01 00:00:00","assembly","22"
"2009-01-01 00:00:00","c","319"
"2009-01-01 00:00:00","c#","2376"
"2009-01-01 00:00:00","c++","850"
"2009-01-01 00:00:00","delphi","164"
"2009-01-01 00:00:00","java","1149"
"2009-01-01 00:00:00","javascript","791"
"2009-01-01 00:00:00","perl","148"
"2009-01-01 00:00:00","php","634"
"2009-01-01 00:00:00","python","630"
"2009-01-01 00:00:00","r","8"
"2009-01-01 00:00:00","ruby","207"
"2009-01-01 00:00:00","swift","1"
"2009-02-01 00:00:00","assembly","36"
"2009-02-01 00:00:00","c","331"
"2009-02-01 00:00:00","c#","2598"
"2009-02-01 00:00:00","c++","842"
"2009-02-01 00:00:00","delphi","167"
"2009-02-01 00:00:00","java","1203"
"2009-02-01 00:00:00","javascript","948"
"2009-02-01 00:00:00","perl","164"
"2009-02-01 00:00:00","php","763"
"2009-02-01 00:00:00","python","628"
"2009-02-01 00:00:00","r","9"
"2009-02-01 00:00:00","ruby","287"
"2009-02-01 00:00:00","swift","1"
"2009-03-01 00:00:00","assembly","24"
"2009-03-01 00:00:00","c","430"
"2009-03-01 00:00:00","c#","3157"
"2009-03-01 00:00:00","c++","1049"
"2009-03-01 00:00:00","delphi","161"
"2009-03-01 00:00:00","java","1433"
"2009-03-01 00:00:00","javascript","1007"
"2009-03-01 00:00:00","perl","137"
"2009-03-01 00:00:00","php","897"
"2009-03-01 00:00:00","python","764"
"2009-03-01 00:00:00","r","4"
"2009-03-01 00:00:00","ruby","330"
"2009-03-01 00:00:00","swift","1"
"2009-04-01 00:00:00","assembly","50"
"2009-04-01 00:00:00","c","457"
"2009-04-01 00:00:00","c#","3306"
"2009-04-01 00:00:00","c++","1019"
"2009-04-01 00:00:00","delphi","185"
"2009-04-01 00:00:00","java","1530"
"2009-04-01 00:00:00","javascript","1047"
"2009-04-01 00:00:00","perl","161"
"2009-04-01 00:00:00","php","960"
"2009-04-01 00:00:00","python","769"
"2009-04-01 00:00:00","r","12"
"2009-04-01 00:00:00","ruby","358"
"2009-05-01 00:00:00","assembly","46"
"2009-05-01 00:00:00","c","481"
"2009-05-01 00:00:00","c#","3551"
"2009-05-01 00:00:00","c++","1215"
"2009-05-01 00:00:00","delphi","202"
"2009-05-01 00:00:00","java","1816"
"2009-05-01 00:00:00","javascript","1432"
"2009-05-01 00:00:00","perl","196"
"2009-05-01 00:00:00","php","1175"
"2009-05-01 00:00:00","python","997"
"2009-05-01 00:00:00","r","2"
"2009-05-01 00:00:00","ruby","401"
"2009-05-01 00:00:00","swift","2"
"2009-06-01 00:00:00","assembly","49"
"2009-06-01 00:00:00","c","498"
"2009-06-01 00:00:00","c#","3879"
"2009-06-01 00:00:00","c++","1250"
"2009-06-01 00:00:00","delphi","221"
"2009-06-01 00:00:00","java","2112"
"2009-06-01 00:00:00","javascript","1553"
"2009-06-01 00:00:00","perl","246"
"2009-06-01 00:00:00","php","1576"
"2009-06-01 00:00:00","python","1042"
"2009-06-01 00:00:00","r","5"
"2009-06-01 00:00:00","ruby","431"
"2009-06-01 00:00:00","swift","1"
"2009-07-01 00:00:00","assembly","32"
"2009-07-01 00:00:00","c","538"
"2009-07-01 00:00:00","c#","4405"
"2009-07-01 00:00:00","c++","1465"
"2009-07-01 00:00:00","delphi","269"
"2009-07-01 00:00:00","java","2257"
"2009-07-01 00:00:00","javascript","1753"
"2009-07-01 00:00:00","perl","258"
"2009-07-01 00:00:00","php","2022"
"2009-07-01 00:00:00","python","1161"
"2009-07-01 00:00:00","r","50"
"2009-07-01 00:00:00","ruby","500"
"2009-08-01 00:00:00","assembly","48"
"2009-08-01 00:00:00","c","529"
"2009-08-01 00:00:00","c#","4453"
"2009-08-01 00:00:00","c++","1400"
"2009-08-01 00:00:00","delphi","246"
"2009-08-01 00:00:00","java","2187"
"2009-08-01 00:00:00","javascript","1856"
"2009-08-01 00:00:00","perl","249"
"2009-08-01 00:00:00","php","2179"
"2009-08-01 00:00:00","python","1134"
"2009-08-01 00:00:00","r","47"
"2009-08-01 00:00:00","ruby","484"
"2009-08-01 00:00:00","swift","3"
"2009-09-01 00:00:00","assembly","62"
"2009-09-01 00:00:00","c","571"
"2009-09-01 00:00:00","c#","4348"
"2009-09-01 00:00:00","c++","1461"
"2009-09-01 00:00:00","delphi","251"
"2009-09-01 00:00:00","java","2259"
"2009-09-01 00:00:00","javascript","1758"
"2009-09-01 00:00:00","perl","249"
"2009-09-01 00:00:00","php","2258"
"2009-09-01 00:00:00","python","1164"
"2009-09-01 00:00:00","r","138"
"2009-09-01 00:00:00","ruby","477"
"2009-09-01 00:00:00","swift","3"
"2009-10-01 00:00:00","assembly","73"
"2009-10-01 00:00:00","c","775"
"2009-10-01 00:00:00","c#","4721"
"2009-10-01 00:00:00","c++","1686"
"2009-10-01 00:00:00","delphi","254"
"2009-10-01 00:00:00","java","2501"
"2009-10-01 00:00:00","javascript","2048"
"2009-10-01 00:00:00","perl","282"
"2009-10-01 00:00:00","php","2354"
"2009-10-01 00:00:00","python","1420"
"2009-10-01 00:00:00","r","73"
"2009-10-01 00:00:00","ruby","493"
"2009-10-01 00:00:00","swift","1"
"2009-11-01 00:00:00","assembly","82"
"2009-11-01 00:00:00","c","959"
"2009-11-01 00:00:00","c#","4678"
"2009-11-01 00:00:00","c++","1748"
"2009-11-01 00:00:00","delphi","274"
"2009-11-01 00:00:00","go","65"
"2009-11-01 00:00:00","java","2759"
"2009-11-01 00:00:00","javascript","2232"
"2009-11-01 00:00:00","perl","322"
"2009-11-01 00:00:00","php","2682"
"2009-11-01 00:00:00","python","1553"
"2009-11-01 00:00:00","r","94"
"2009-11-01 00:00:00","ruby","654"
"2009-11-01 00:00:00","swift","3"
"2009-12-01 00:00:00","assembly","62"
"2009-12-01 00:00:00","c","850"
"2009-12-01 00:00:00","c#","4486"
"2009-12-01 00:00:00","c++","1652"
"2009-12-01 00:00:00","delphi","282"
"2009-12-01 00:00:00","go","11"
"2009-12-01 00:00:00","java","2686"
"2009-12-01 00:00:00","javascript","2305"
"2009-12-01 00:00:00","perl","261"
"2009-12-01 00:00:00","php","2823"
"2009-12-01 00:00:00","python","1588"
"2009-12-01 00:00:00","r","80"
"2009-12-01 00:00:00","ruby","573"
"2009-12-01 00:00:00","swift","1"
"2010-01-01 00:00:00","assembly","101"
"2010-01-01 00:00:00","c","980"
"2010-01-01 00:00:00","c#","5111"
"2010-01-01 00:00:00","c++","1999"
"2010-01-01 00:00:00","delphi","303"
"2010-01-01 00:00:00","go","15"
"2010-01-01 00:00:00","java","3724"
"2010-01-01 00:00:00","javascript","2625"
"2010-01-01 00:00:00","perl","302"
"2010-01-01 00:00:00","php","3430"
"2010-01-01 00:00:00","python","1946"
"2010-01-01 00:00:00","r","94"
"2010-01-01 00:00:00","ruby","684"
"2010-02-01 00:00:00","assembly","69"
"2010-02-01 00:00:00","c","1034"
"2010-02-01 00:00:00","c#","5093"
"2010-02-01 00:00:00","c++","2276"
"2010-02-01 00:00:00","delphi","283"
"2010-02-01 00:00:00","go","7"
"2010-02-01 00:00:00","java","3576"
"2010-02-01 00:00:00","javascript","2642"
"2010-02-01 00:00:00","perl","347"
"2010-02-01 00:00:00","php","3164"
"2010-02-01 00:00:00","python","1862"
"2010-02-01 00:00:00","r","122"
"2010-02-01 00:00:00","ruby","688"
"2010-02-01 00:00:00","swift","2"
"2010-03-01 00:00:00","assembly","123"
"2010-03-01 00:00:00","c","1114"
"2010-03-01 00:00:00","c#","6032"
"2010-03-01 00:00:00","c++","2435"
"2010-03-01 00:00:00","delphi","317"
"2010-03-01 00:00:00","go","8"
"2010-03-01 00:00:00","java","4439"
"2010-03-01 00:00:00","javascript","2989"
"2010-03-01 00:00:00","perl","392"
"2010-03-01 00:00:00","php","3739"
"2010-03-01 00:00:00","python","2071"
"2010-03-01 00:00:00","r","139"
"2010-03-01 00:00:00","ruby","695"
"2010-03-01 00:00:00","swift","1"
"2010-04-01 00:00:00","assembly","124"
"2010-04-01 00:00:00","c","1182"
"2010-04-01 00:00:00","c#","5776"
"2010-04-01 00:00:00","c++","2489"
"2010-04-01 00:00:00","delphi","271"
"2010-04-01 00:00:00","go","10"
"2010-04-01 00:00:00","java","3881"
"2010-04-01 00:00:00","javascript","3010"
"2010-04-01 00:00:00","perl","364"
"2010-04-01 00:00:00","php","3636"
"2010-04-01 00:00:00","python","1811"
"2010-04-01 00:00:00","r","160"
"2010-04-01 00:00:00","ruby","752"
"2010-04-01 00:00:00","swift","2"
"2010-05-01 00:00:00","assembly","108"
"2010-05-01 00:00:00","c","1182"
"2010-05-01 00:00:00","c#","5929"
"2010-05-01 00:00:00","c++","2418"
"2010-05-01 00:00:00","delphi","280"
"2010-05-01 00:00:00","go","17"
"2010-05-01 00:00:00","java","4169"
"2010-05-01 00:00:00","javascript","3231"
"2010-05-01 00:00:00","perl","286"
"2010-05-01 00:00:00","php","3981"
"2010-05-01 00:00:00","python","2006"
"2010-05-01 00:00:00","r","139"
"2010-05-01 00:00:00","ruby","775"
"2010-05-01 00:00:00","swift","1"
"2010-06-01 00:00:00","assembly","90"
"2010-06-01 00:00:00","c","1154"
"2010-06-01 00:00:00","c#","6144"
"2010-06-01 00:00:00","c++","2826"
"2010-06-01 00:00:00","delphi","329"
"2010-06-01 00:00:00","go","15"
"2010-06-01 00:00:00","java","4279"
"2010-06-01 00:00:00","javascript","3470"
"2010-06-01 00:00:00","perl","409"
"2010-06-01 00:00:00","php","4086"
"2010-06-01 00:00:00","python","2207"
"2010-06-01 00:00:00","r","176"
"2010-06-01 00:00:00","ruby","852"
"2010-06-01 00:00:00","swift","3"
"2010-07-01 00:00:00","assembly","97"
"2010-07-01 00:00:00","c","1286"
"2010-07-01 00:00:00","c#","6677"
"2010-07-01 00:00:00","c++","2676"
"2010-07-01 00:00:00","delphi","334"
"2010-07-01 00:00:00","go","8"
"2010-07-01 00:00:00","java","4512"
"2010-07-01 00:00:00","javascript","3874"
"2010-07-01 00:00:00","perl","435"
"2010-07-01 00:00:00","php","4589"
"2010-07-01 00:00:00","python","2591"
"2010-07-01 00:00:00","r","234"
"2010-07-01 00:00:00","ruby","911"
"2010-07-01 00:00:00","swift","1"
"2010-08-01 00:00:00","assembly","86"
"2010-08-01 00:00:00","c","1364"
"2010-08-01 00:00:00","c#","6959"
"2010-08-01 00:00:00","c++","2630"
"2010-08-01 00:00:00","delphi","354"
"2010-08-01 00:00:00","go","13"
"2010-08-01 00:00:00","java","4701"
"2010-08-01 00:00:00","javascript","4001"
"2010-08-01 00:00:00","perl","547"
"2010-08-01 00:00:00","php","5123"
"2010-08-01 00:00:00","python","2491"
"2010-08-01 00:00:00","r","283"
"2010-08-01 00:00:00","ruby","995"
"2010-08-01 00:00:00","swift","2"
"2010-09-01 00:00:00","assembly","117"
"2010-09-01 00:00:00","c","1374"
"2010-09-01 00:00:00","c#","6408"
"2010-09-01 00:00:00","c++","2731"
"2010-09-01 00:00:00","delphi","319"
"2010-09-01 00:00:00","go","9"
"2010-09-01 00:00:00","java","4711"
"2010-09-01 00:00:00","javascript","3997"
"2010-09-01 00:00:00","perl","460"
"2010-09-01 00:00:00","php","4691"
"2010-09-01 00:00:00","python","2248"
"2010-09-01 00:00:00","r","236"
"2010-09-01 00:00:00","ruby","935"
"2010-09-01 00:00:00","swift","2"
"2010-10-01 00:00:00","assembly","123"
"2010-10-01 00:00:00","c","1439"
"2010-10-01 00:00:00","c#","6732"
"2010-10-01 00:00:00","c++","2930"
"2010-10-01 00:00:00","delphi","361"
"2010-10-01 00:00:00","go","13"
"2010-10-01 00:00:00","java","5026"
"2010-10-01 00:00:00","javascript","4108"
"2010-10-01 00:00:00","perl","498"
"2010-10-01 00:00:00","php","4506"
"2010-10-01 00:00:00","python","2671"
"2010-10-01 00:00:00","r","214"
"2010-10-01 00:00:00","ruby","925"
"2010-10-01 00:00:00","swift","1"
"2010-11-01 00:00:00","assembly","165"
"2010-11-01 00:00:00","c","1675"
"2010-11-01 00:00:00","c#","7315"
"2010-11-01 00:00:00","c++","3369"
"2010-11-01 00:00:00","delphi","390"
"2010-11-01 00:00:00","go","16"
"2010-11-01 00:00:00","java","5588"
"2010-11-01 00:00:00","javascript","4544"
"2010-11-01 00:00:00","perl","465"
"2010-11-01 00:00:00","php","5105"
"2010-11-01 00:00:00","python","2604"
"2010-11-01 00:00:00","r","242"
"2010-11-01 00:00:00","ruby","928"
"2010-11-01 00:00:00","swift","1"
"2010-12-01 00:00:00","assembly","125"
"2010-12-01 00:00:00","c","1468"
"2010-12-01 00:00:00","c#","7099"
"2010-12-01 00:00:00","c++","3131"
"2010-12-01 00:00:00","delphi","321"
"2010-12-01 00:00:00","go","18"
